                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.1483,                0.87994,                 1.1476,                 0.9302,                0.90119,                0.93828,                0.71638,                0.92623,                0.66656,                 1.0434,             0.00024575,             0.00024575,             0.00024575
                    121,                 1.1913,                0.91062,                  1.159,                0.93802,                0.89988,                0.94586,                0.73117,                0.91575,                0.64027,                 1.0347,             0.00023842,             0.00023842,             0.00023842
                    122,                 1.1372,                0.89044,                 1.1386,                0.92733,                0.91144,                0.94286,                0.70906,                0.94927,                0.65551,                 1.0442,             0.00023109,             0.00023109,             0.00023109
                    123,                 1.2035,                0.90918,                 1.1847,                0.93428,                0.90788,                0.94214,                0.71896,                0.92138,                0.65251,                 1.0396,             0.00022376,             0.00022376,             0.00022376
                    124,                 1.1222,                0.86566,                 1.1429,                0.91214,                0.89951,                0.93802,                 0.7201,                0.89528,                0.64823,                 1.0317,             0.00021642,             0.00021642,             0.00021642
                    125,                 1.1064,                0.85219,                  1.146,                0.91778,                0.89614,                0.94072,                0.72627,                0.88753,                 0.6385,                 1.0258,             0.00020909,             0.00020909,             0.00020909
                    126,                 1.1095,                0.85367,                 1.1361,                0.90886,                0.91358,                0.94219,                0.72723,                0.88801,                0.63304,                 1.0207,             0.00020176,             0.00020176,             0.00020176
                    127,                 1.1419,                0.87034,                 1.1422,                0.91471,                0.91257,                0.93882,                0.72247,                0.90252,                0.65024,                 1.0242,             0.00019442,             0.00019442,             0.00019442
                    128,                 1.0933,                0.85887,                 1.1347,                0.91833,                0.90312,                  0.937,                0.72509,                0.88607,                  0.648,                 1.0168,             0.00018709,             0.00018709,             0.00018709
                    129,                 1.0763,                0.82879,                 1.1133,                0.92425,                0.90383,                 0.9466,                0.73511,                0.87822,                0.64111,                 1.0156,             0.00017976,             0.00017976,             0.00017976
                    130,                 1.1075,                0.88607,                 1.1435,                0.91806,                0.89501,                0.94636,                0.73204,                0.87479,                 0.6414,                 1.0166,             0.00017243,             0.00017243,             0.00017243
                    131,                  1.062,                0.82883,                 1.1244,                0.91891,                0.90654,                0.94388,                 0.7297,                 0.8673,                0.63016,                 1.0107,             0.00016509,             0.00016509,             0.00016509
                    132,                 1.0847,                0.82992,                 1.1219,                0.94219,                0.90165,                0.94674,                0.73902,                0.85999,                0.62369,                 1.0085,             0.00015776,             0.00015776,             0.00015776
