                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.1912,                 1.0401,                 1.1703,                0.75723,                0.74964,                0.81564,                0.59624,                0.94656,                0.68047,                 1.0368,             0.00014106,             0.00014106,             0.00014106
                     99,                 1.1784,                 1.0148,                 1.1635,                0.77923,                0.73958,                 0.8248,                0.61275,                0.91867,                0.67095,                 1.0303,             0.00013852,             0.00013852,             0.00013852
                    100,                 1.1481,                0.97958,                 1.1483,                0.77308,                0.74989,                0.82489,                0.62129,                0.91065,                0.68318,                 1.0315,             0.00013598,             0.00013598,             0.00013598
                    101,                 1.1439,                0.98612,                 1.1398,                0.73486,                0.78827,                  0.824,                0.61604,                 0.9063,                0.66208,                 1.0203,             0.00013344,             0.00013344,             0.00013344
                    102,                 1.1495,                0.97123,                 1.1429,                0.77241,                0.76927,                0.82724,                0.61589,                0.91679,                0.67481,                 1.0246,              0.0001309,              0.0001309,              0.0001309
                    103,                 1.1219,                0.96156,                  1.126,                0.76858,                0.78574,                0.82788,                0.62556,                0.89099,                0.65127,                 1.0178,             0.00012836,             0.00012836,             0.00012836
                    104,                 1.1561,                0.96593,                 1.1404,                0.80833,                0.76218,                0.83385,                0.62809,                0.89733,                0.64548,                 1.0167,             0.00012582,             0.00012582,             0.00012582
                    105,                 1.1184,                 0.9364,                 1.1271,                0.80317,                 0.7706,                0.83158,                0.63508,                0.88241,                0.63931,                 1.0146,             0.00012328,             0.00012328,             0.00012328
                    106,                 1.1231,                0.93849,                 1.1235,                0.79692,                0.79081,                0.83498,                0.63338,                0.89158,                0.64331,                 1.0123,             0.00012074,             0.00012074,             0.00012074
                    107,                 1.1697,                0.98923,                 1.1358,                0.78667,                0.78401,                0.83099,                0.62059,                 0.9009,                0.67089,                 1.0164,              0.0001182,              0.0001182,              0.0001182
                    108,                   1.11,                0.94444,                 1.1173,                0.79677,                0.77485,                0.83302,                0.62546,                0.89884,                0.67257,                 1.0161,             0.00011565,             0.00011565,             0.00011565
                    109,                 1.1228,                0.93813,                 1.1303,                0.79972,                0.77454,                0.82783,                0.62436,                0.89703,                0.63399,                 1.0096,             0.00011311,             0.00011311,             0.00011311
                    110,                 1.0969,                0.93128,                 1.1178,                0.81541,                0.75982,                0.83134,                0.64226,                 0.8662,                0.62556,                 1.0041,             0.00011057,             0.00011057,             0.00011057
                    111,                 1.1292,                0.96002,                 1.1303,                0.79411,                0.78532,                0.83307,                0.62203,                0.87069,                0.62745,                 1.0031,             0.00010803,             0.00010803,             0.00010803
                    112,                 1.1116,                0.93583,                 1.1213,                0.78378,                0.79148,                0.83281,                0.63166,                0.85425,                0.63624,                 1.0017,             0.00010549,             0.00010549,             0.00010549
                    113,                 1.1195,                0.92532,                 1.1266,                0.80976,                0.76266,                0.83272,                0.64337,                0.86191,                0.61668,                 1.0006,             0.00010295,             0.00010295,             0.00010295
                    114,                 1.0915,                0.93016,                 1.1098,                0.80355,                0.79249,                 0.8378,                0.63552,                0.86065,                0.62901,                 1.0009,             0.00010041,             0.00010041,             0.00010041
                    115,                 1.1027,                0.93499,                 1.1228,                0.79228,                0.78761,                0.83944,                0.63736,                0.84868,                0.61578,                0.99408,             9.7867e-05,             9.7867e-05,             9.7867e-05
                    116,                 1.1136,                0.94944,                 1.1281,                0.80065,                0.79324,                0.84166,                0.64011,                0.83664,                0.62679,                0.98945,             9.5326e-05,             9.5326e-05,             9.5326e-05
                    117,                   1.07,                0.89171,                 1.0951,                0.80849,                0.78835,                0.84024,                 0.6477,                0.83615,                0.60309,                0.98711,             9.2785e-05,             9.2785e-05,             9.2785e-05
                    118,                 1.0763,                0.89694,                 1.1038,                 0.7994,                0.79081,                0.83924,                0.64958,                0.83121,                0.60243,                0.98544,             9.0244e-05,             9.0244e-05,             9.0244e-05
                    119,                 1.0548,                0.87293,                 1.0864,                0.81863,                0.79041,                0.84436,                0.64809,                0.83352,                0.60079,                0.98676,             8.7703e-05,             8.7703e-05,             8.7703e-05
                    120,                 1.0874,                0.91626,                 1.1164,                0.79153,                0.80029,                0.84018,                 0.6396,                0.81985,                0.60296,                0.97946,             8.5162e-05,             8.5162e-05,             8.5162e-05
                    121,                 1.0659,                0.89132,                 1.0975,                0.81561,                0.77447,                 0.8397,                0.65115,                0.81062,                0.59972,                0.97575,             8.2621e-05,             8.2621e-05,             8.2621e-05
                    122,                 1.0609,                0.88516,                 1.1026,                0.80106,                0.79023,                0.84325,                0.65228,                0.81286,                0.59813,                  0.973,              8.008e-05,              8.008e-05,              8.008e-05
                    123,                 1.0649,                0.87297,                 1.0859,                0.81065,                0.78558,                0.83666,                0.63881,                0.80936,                0.59336,                0.97309,             7.7539e-05,             7.7539e-05,             7.7539e-05
                    124,                 1.0678,                0.92389,                 1.1088,                 0.7661,                0.80679,                0.83659,                0.64871,                0.79974,                0.58945,                0.97247,             7.4998e-05,             7.4998e-05,             7.4998e-05
                    125,                 1.0366,                0.85406,                 1.0889,                 0.7897,                0.77712,                0.83796,                 0.6473,                0.80177,                0.58387,                0.97259,             7.2457e-05,             7.2457e-05,             7.2457e-05
                    126,                 1.0352,                0.85838,                  1.086,                0.80804,                0.77079,                0.83619,                0.64364,                0.79295,                0.58428,                0.97005,             6.9916e-05,             6.9916e-05,             6.9916e-05
                    127,                  1.065,                0.89205,                 1.0942,                0.81542,                0.77052,                0.83775,                0.65898,                0.78386,                0.58115,                0.96632,             6.7375e-05,             6.7375e-05,             6.7375e-05
                    128,                 1.0408,                0.86001,                 1.0805,                 0.8017,                  0.783,                0.84046,                0.66372,                0.78261,                0.57484,                0.96207,             6.4834e-05,             6.4834e-05,             6.4834e-05
                    129,                 1.0281,                0.84336,                 1.0775,                0.80948,                0.76975,                0.83642,                0.66135,                0.77578,                0.57227,                0.96173,             6.2293e-05,             6.2293e-05,             6.2293e-05
                    130,                 1.0084,                0.82682,                 1.0837,                0.80762,                0.78213,                0.84298,                0.66909,                0.77817,                0.57043,                0.96212,             5.9752e-05,             5.9752e-05,             5.9752e-05
                    131,                 1.0493,                0.86018,                 1.0789,                0.80548,                0.78698,                 0.8404,                0.66502,                0.77654,                0.56271,                0.95925,             5.7211e-05,             5.7211e-05,             5.7211e-05
                    132,                 1.0399,                0.86217,                 1.0815,                0.81036,                0.79307,                0.84585,                0.67155,                0.76944,                0.56063,                 0.9565,              5.467e-05,              5.467e-05,              5.467e-05
                    133,                  1.044,                0.86835,                 1.0882,                0.81028,                0.78969,                0.84596,                0.67075,                0.77111,                0.56355,                0.95568,             5.2129e-05,             5.2129e-05,             5.2129e-05
                    134,                 1.0324,                0.86645,                 1.0873,                0.79823,                0.80351,                  0.846,                0.67266,                 0.7618,                0.56868,                0.95557,             4.9588e-05,             4.9588e-05,             4.9588e-05
                    135,                 1.0211,                0.86289,                 1.0852,                    0.8,                0.79889,                0.84384,                0.66899,                0.76635,                 0.5615,                0.95618,             4.7047e-05,             4.7047e-05,             4.7047e-05
                    136,                 1.0116,                0.83002,                 1.0741,                0.81415,                0.77926,                 0.8427,                 0.6706,                0.75904,                0.56159,                0.95285,             4.4506e-05,             4.4506e-05,             4.4506e-05
                    137,                 1.0353,                0.83998,                 1.0756,                0.79501,                0.80049,                0.84454,                0.66844,                0.76077,                0.56197,                0.95206,             4.1965e-05,             4.1965e-05,             4.1965e-05
                    138,                 1.0205,                0.84588,                 1.0684,                0.80675,                0.80595,                0.84508,                 0.6733,                0.76157,                0.55833,                0.95315,             3.9424e-05,             3.9424e-05,             3.9424e-05
                    139,                 1.0103,                0.83852,                 1.0798,                0.80819,                0.78567,                0.84381,                0.67789,                0.75171,                0.55326,                 0.9497,             3.6883e-05,             3.6883e-05,             3.6883e-05
                    140,                 1.0081,                0.82334,                 1.0719,                 0.8274,                0.78966,                0.84654,                0.67405,                0.75163,                0.55915,                0.94954,             3.4342e-05,             3.4342e-05,             3.4342e-05
                    141,                 1.0902,                0.89039,                 1.1298,                0.78643,                0.80148,                0.83848,                0.66336,                 0.8161,                0.57863,                0.97011,             3.1801e-05,             3.1801e-05,             3.1801e-05
                    142,                 1.0367,                0.81583,                 1.0808,                0.74595,                0.81682,                 0.8364,                0.65428,                0.83169,                0.59191,                0.97807,              2.926e-05,              2.926e-05,              2.926e-05
                    143,                0.97892,                0.77407,                 1.0523,                0.77052,                0.81092,                0.83909,                0.65626,                0.81715,                0.59848,                0.97272,             2.6719e-05,             2.6719e-05,             2.6719e-05
                    144,                0.97567,                0.74701,                 1.0593,                0.78859,                0.78132,                0.84116,                0.65961,                0.80606,                  0.592,                0.96834,             2.4178e-05,             2.4178e-05,             2.4178e-05
                    145,                0.93632,                0.72846,                 1.0313,                0.76544,                0.81064,                0.84159,                0.65952,                0.79779,                0.58388,                0.96436,             2.1637e-05,             2.1637e-05,             2.1637e-05
                    146,                0.95053,                0.74044,                 1.0312,                 0.7768,                 0.8123,                0.84258,                0.66237,                0.79226,                0.57957,                0.96221,             1.9096e-05,             1.9096e-05,             1.9096e-05
                    147,                0.93487,                0.73966,                 1.0478,                0.77871,                0.80122,                0.83945,                0.66193,                0.78318,                0.57497,                0.95924,             1.6555e-05,             1.6555e-05,             1.6555e-05
