Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
Fortuner,Toyota,2800 cc,SUV,2020,"44,000 km",Diesel,Automatic,Islamabad,PKR 1.55 crore
Fortuner,Toyota,2800 cc,SUV,2021,"38,000 km",Diesel,Automatic,Islamabad,PKR 1.56 crore
Civic,Honda,1500 cc,Sedan,2023,"14,800 km",Petrol,Automatic,Islamabad,PKR 97.85 lacs
Fortuner,Toyota,2800 cc,SUV,2023,1 km,Diesel,Automatic,Un-Registered,PKR 2.14 crore
Fortuner,Toyota,2700 cc,SUV,2017,"68,000 km",Petrol,Automatic,Islamabad,PKR 1.15 crore
Fortuner,Toyota,2700 cc,SUV,2017,"65,000 km",Petrol,Automatic,Karachi,PKR 1.07 crore
Fortuner,Toyota,2800 cc,SUV,2019,"5,000 km",Diesel,Automatic,Un-Registered,PKR 1.53 crore
Fortuner,Toyota,2700 cc,SUV,2021,"25,000 km",Petrol,Automatic,Punjab,PKR 1.52 crore
Fortuner,Toyota,2700 cc,SUV,2017,"30,000 km",Petrol,Automatic,Islamabad,PKR 1.25 crore
Civic,Honda,1500 cc,Sedan,2020,"50,000 km",Petrol,Manual,Islamabad,PKR 72 lacs
Fortuner,Toyota,2700 cc,SUV,2021,"2,490 km",Petrol,Automatic,Karachi,PKR 1.49 crore
Fortuner,Toyota,2800 cc,SUV,2020,"74,000 km",Diesel,Automatic,Islamabad,PKR 1.46 crore
Fortuner,Toyota,2700 cc,SUV,2021,"49,283 km",LPG,Automatic,Punjab,PKR 1.4 crore
Fortuner,Toyota,2800 cc,SUV,2022,"18,000 km",Diesel,Automatic,Islamabad,PKR 1.76 crore
Fortuner,Toyota,2800 cc,SUV,2022,"10,000 km",Diesel,Automatic,Islamabad,PKR 1.86 crore
Fortuner,Toyota,2800 cc,SUV,2023,7 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2700 cc,SUV,2021,"2,700 km",Petrol,Automatic,Islamabad,PKR 1.37 crore
Fortuner,Toyota,2800 cc,SUV,2023,45 km,Diesel,Automatic,Un-Registered,PKR 1.93 crore
Fortuner,Toyota,2700 cc,SUV,2017,"66,000 km",Petrol,Automatic,Lahore,PKR 1.18 crore
Fortuner,Toyota,2700 cc,SUV,2017,"43,899 km",Petrol,Automatic,Sindh,PKR 1.04 crore
Fortuner,Toyota,2800 cc,SUV,2023,44 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2800 cc,SUV,2023,55 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2700 cc,SUV,2023,30 km,Petrol,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2700 cc,SUV,2017,"24,000 km",Petrol,Automatic,Karachi,PKR 1.14 crore
Fortuner,Toyota,2800 cc,SUV,2023,5 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2800 cc,SUV,2023,5 km,Diesel,Automatic,Un-Registered,Call for price
Fortuner,Toyota,2700 cc,SUV,2017,"38,000 km",Petrol,Automatic,Karachi,PKR 1.08 crore
Fortuner,Toyota,2700 cc,SUV,2017,"29,000 km",Petrol,Automatic,Lahore,PKR 1.22 crore
Fortuner,Toyota,2700 cc,SUV,2021,"45,000 km",Petrol,Automatic,Lahore,PKR 1.5 crore
Fortuner,Toyota,2800 cc,SUV,2023,1 km,Diesel,Automatic,Un-Registered,PKR 1.85 crore
Fortuner,Toyota,2700 cc,SUV,2017,"68,500 km",Petrol,Automatic,Lahore,PKR 1.08 crore
Fortuner,Toyota,2700 cc,SUV,2019,"53,304 km",Petrol,Automatic,Islamabad,PKR 1.29 crore
Fortuner,Toyota,2700 cc,SUV,2022,"9,700 km",Petrol,Automatic,Islamabad,PKR 1.45 crore
Civic,Honda,1500 cc,Sedan,2022,"19,200 km",Petrol,Automatic,Karachi,PKR 81.5 lacs
Fortuner,Toyota,2700 cc,SUV,2017,"52,000 km",Petrol,Automatic,Sindh,PKR 1.17 crore
Fortuner,Toyota,2700 cc,SUV,2017,"60,000 km",Petrol,Automatic,Sindh,PKR 1.08 crore
Fortuner,Toyota,2700 cc,SUV,2020,"14,000 km",Petrol,Automatic,Punjab,PKR 1.3 crore
Fortuner,Toyota,2800 cc,SUV,2018,"70,000 km",Diesel,Automatic,Lahore,PKR 1.33 crore
Fortuner,Toyota,2700 cc,SUV,2015,"70,000 km",Petrol,Automatic,Karachi,PKR 72 lacs
Fortuner,Toyota,2800 cc,SUV,2023,150 km,Diesel,Automatic,Un-Registered,PKR 1.95 crore
