,Car_Name,Car_Brand,Engine Capacity,Category,model Year,Milage,Fuel Type,Transmission,City Registered,Price
249,Swift,Suzuki,1300 cc,Hatchback,2012,"128,000 km",Petrol,Automatic,Islamabad,PKR 19.5 lacs
250,Swift,Suzuki,1300 cc,Hatchback,2011,"170,000 km",Petrol,Manual,Lahore,PKR 17 lacs
251,Swift,Suzuki,1200 cc,Hatchback,2022,"13,700 km",Petrol,Automatic,Islamabad,PKR 43 lacs
252,Swift,Suzuki,1300 cc,Hatchback,2015,"89,000 km",Petrol,Automatic,Sindh,PKR 21.5 lacs
253,Swift,Suzuki,1300 cc,Hatchback,2012,"59,000 km",Petrol,Manual,Islamabad,PKR 20.5 lacs
254,Swift,Suzuki,1200 cc,Hatchback,2022,"30,000 km",Petrol,Automatic,Punjab,PKR 40.5 lacs
255,Swift,Suzuki,1242 cc,Hatchback,2022,"19,000 km",Petrol,Automatic,Lahore,PKR 43.95 lacs
256,Swift,Suzuki,1300 cc,Hatchback,2019,"83,000 km",Petrol,Automatic,Islamabad,PKR 31 lacs
257,Swift,Suzuki,1242 cc,Hatchback,2022,"1,690 km",Petrol,Automatic,Karachi,PKR 46.5 lacs
258,Swift,Suzuki,1242 cc,Hatchback,2023,5 km,Petrol,Manual,Un-Registered,PKR 42.5 lacs
259,Swift,Suzuki,1200 cc,Hatchback,2023,800 km,Petrol,Automatic,Karachi,PKR 49.5 lacs
260,Swift,Suzuki,1242 cc,Hatchback,2022,"28,000 km",Petrol,Automatic,Sindh,PKR 44.75 lacs
261,Swift,Suzuki,1300 cc,Hatchback,2021,"55,000 km",Petrol,Manual,Islamabad,PKR 32 lacs
262,Swift,Suzuki,1242 cc,Hatchback,2024,1 km,Petrol,Automatic,Un-Registered,PKR 50.65 lacs
263,Swift,Suzuki,1300 cc,Hatchback,2017,"102,000 km",Petrol,Manual,Islamabad,PKR 26 lacs
264,Swift,Suzuki,1200 cc,Hatchback,2023,"9,500 km",Petrol,Automatic,Karachi,PKR 47.95 lacs
265,Swift,Suzuki,1300 cc,Hatchback,2020,"42,000 km",Petrol,Automatic,Islamabad,PKR 32 lacs
266,Swift,Suzuki,1200 cc,N/A,2022,"15,000 km",Petrol,Automatic,Lahore,PKR 43.7 lacs
267,Swift,Suzuki,1242 cc,Hatchback,2023,"10,000 km",Petrol,Automatic,Islamabad,PKR 55 lacs
268,Swift,Suzuki,1300 cc,Hatchback,2017,"52,000 km",Petrol,Manual,Lahore,PKR 32.5 lacs
269,Swift,Suzuki,1300 cc,Hatchback,2014,"121,000 km",Petrol,Manual,Lahore,PKR 20.25 lacs
270,Swift,Suzuki,1242 cc,Hatchback,2023,"16,500 km",Petrol,Automatic,Islamabad,PKR 48 lacs
271,Swift,Suzuki,1300 cc,Hatchback,2016,"122,322 km",Petrol,Manual,Sindh,PKR 21.5 lacs
272,Swift,Suzuki,1300 cc,Hatchback,2012,"117,983 km",Petrol,Manual,Islamabad,PKR 19.5 lacs
273,Swift,Suzuki,1200 cc,Hatchback,2023,"4,000 km",Petrol,Manual,Punjab,PKR 43.5 lacs
274,Swift,Suzuki,1300 cc,Hatchback,2019,"51,619 km",Petrol,Automatic,Sindh,PKR 28 lacs
275,Swift,Suzuki,1300 cc,Hatchback,2013,"82,578 km",Petrol,Manual,Sindh,PKR 18 lacs
276,Swift,Suzuki,1300 cc,Hatchback,2019,"46,466 km",Petrol,Manual,Sindh,PKR 25.5 lacs
277,Swift,Suzuki,1300 cc,Hatchback,2017,"91,394 km",Petrol,Manual,Karachi,PKR 20.5 lacs
278,Swift,Suzuki,1300 cc,Hatchback,2018,"77,000 km",Petrol,Manual,Sindh,PKR 25 lacs
279,Swift,Suzuki,1300 cc,Hatchback,2015,"160,000 km",Petrol,Automatic,Sindh,PKR 23 lacs
280,Swift,Suzuki,1240 cc,Hatchback,2022,"14,000 km",Petrol,Automatic,Punjab,PKR 42.5 lacs
281,Swift,Suzuki,1200 cc,Hatchback,2022,"3,700 km",Petrol,Automatic,Islamabad,PKR 44 lacs
282,Swift,Suzuki,1300 cc,Hatchback,2014,"200,000 km",Petrol,Manual,Islamabad,PKR 20.5 lacs
283,Swift,Suzuki,1200 cc,Hatchback,2023,"6,500 km",Petrol,Automatic,Islamabad,PKR 46.5 lacs
284,Swift,Suzuki,1200 cc,Hatchback,2022,"11,800 km",Petrol,Automatic,Karachi,PKR 44.35 lacs
285,Swift,Suzuki,1300 cc,Hatchback,2012,"162,350 km",Petrol,Manual,Lahore,PKR 16.5 lacs
286,Swift,Suzuki,1200 cc,Hatchback,2022,"18,000 km",Petrol,Automatic,Islamabad,PKR 42.5 lacs
287,Swift,Suzuki,1300 cc,Hatchback,2010,"146,000 km",Petrol,Manual,Lahore,PKR 16.95 lacs
288,Swift,Suzuki,1240 cc,Hatchback,2022,"2,600 km",Petrol,Automatic,Sindh,PKR 44 lacs
289,Swift,Suzuki,1200 cc,Hatchback,2022,"2,500 km",Petrol,Manual,Lahore,PKR 40.75 lacs
290,Swift,Suzuki,1300 cc,Hatchback,2017,"80,000 km",Petrol,Manual,Sindh,PKR 21.5 lacs
291,Swift,Suzuki,1300 cc,Hatchback,2014,"112,000 km",Petrol,Manual,Punjab,PKR 19.9 lacs
292,Swift,Suzuki,1200 cc,Hatchback,2023,"12,700 km",Petrol,Automatic,Lahore,PKR 42 lacs
293,Swift,Suzuki,1242 cc,Hatchback,2023,"13,000 km",Petrol,Automatic,Islamabad,PKR 46.3 lacs
294,Swift,Suzuki,1242 cc,Hatchback,2023,"15,000 km",Petrol,Automatic,Islamabad,PKR 48 lacs
295,Swift,Suzuki,1200 cc,Hatchback,2022,"25,000 km",Petrol,Automatic,Karachi,PKR 45 lacs
296,Swift,Suzuki,1200 cc,Hatchback,2024,15 km,Petrol,Automatic,Un-Registered,PKR 49.6 lacs
297,Swift,Suzuki,1200 cc,Hatchback,2022,"20,000 km",Petrol,Automatic,Punjab,PKR 40 lacs
298,Swift,Suzuki,1300 cc,Hatchback,2015,"75,000 km",Petrol,Manual,Karachi,PKR 21 lacs
299,Swift,Suzuki,1300 cc,Hatchback,2019,"50,000 km",Petrol,Automatic,Karachi,PKR 24.5 lacs
300,Swift,Suzuki,1242 cc,Hatchback,2022,"30,500 km",Petrol,Automatic,Karachi,PKR 43.25 lacs
301,Swift,Suzuki,1300 cc,Hatchback,2017,"109,000 km",Petrol,Manual,Islamabad,PKR 23.99 lacs
302,Swift,Suzuki,1200 cc,Hatchback,2020,"13,000 km",Petrol,Automatic,Un-Registered,Call for price
303,Swift,Suzuki,1300 cc,Hatchback,2013,"113,000 km",Petrol,Automatic,Sindh,PKR 21.5 lacs
304,Yaris,Toyota,1000 cc,N/A,2020,"92,000 km",Petrol,Automatic,Un-Registered,PKR 45.5 lacs
305,Swift,Suzuki,1242 cc,Hatchback,2023,"30,000 km",Petrol,Manual,Punjab,PKR 39.95 lacs
306,Swift,Suzuki,1200 cc,Hatchback,2022,"22,000 km",Petrol,Automatic,Sindh,PKR 41 lacs
307,Swift,Suzuki,1240 cc,Hatchback,2022,"11,200 km",Petrol,Automatic,Islamabad,PKR 42 lacs
308,Swift,Suzuki,1300 cc,Hatchback,2013,"87,000 km",Petrol,Manual,Islamabad,PKR 18.75 lacs
309,Swift,Suzuki,1242 cc,Hatchback,2022,"36,000 km",Petrol,Automatic,Karachi,PKR 44 lacs
310,Swift,Suzuki,1200 cc,Hatchback,2022,"52,218 km",Petrol,Automatic,Islamabad,PKR 44 lacs
311,Swift,Suzuki,1242 cc,Hatchback,2022,"38,000 km",Petrol,Manual,Sindh,PKR 37.25 lacs
312,Swift,Suzuki,1300 cc,Hatchback,2013,"86,000 km",Petrol,Automatic,Karachi,PKR 19.8 lacs
313,Swift,Suzuki,1242 cc,Hatchback,2022,"22,000 km",Petrol,Automatic,Islamabad,PKR 45.5 lacs
314,Swift,Suzuki,1300 cc,Hatchback,2011,"190,900 km",Petrol,Manual,Lahore,PKR 17 lacs
315,Swift,Suzuki,1300 cc,Hatchback,2013,"138,000 km",Petrol,Manual,Islamabad,PKR 18.4 lacs
316,Swift,Suzuki,1300 cc,Hatchback,2019,"65,000 km",Petrol,Automatic,Punjab,PKR 30 lacs
317,Swift,Suzuki,1240 cc,Hatchback,2022,"19,000 km",Petrol,Automatic,Karachi,PKR 38.75 lacs
318,Swift,Suzuki,1300 cc,Hatchback,2021,"70,000 km",Petrol,Manual,Islamabad,PKR 35 lacs
319,Swift,Suzuki,1300 cc,Hatchback,2010,"15,640 km",Petrol,Manual,Sindh,PKR 13.9 lacs
320,Swift,Suzuki,1300 cc,Hatchback,2011,"91,000 km",Petrol,Manual,Islamabad,PKR 18.5 lacs
321,Swift,Suzuki,1300 cc,Hatchback,2020,"62,000 km",Petrol,Manual,Punjab,PKR 29.5 lacs
322,Swift,Suzuki,1200 cc,N/A,2022,"42,000 km",Petrol,Automatic,Islamabad,PKR 40.25 lacs
323,Swift,Suzuki,1300 cc,Hatchback,2021,"29,000 km",Petrol,Automatic,Karachi,PKR 32 lacs
324,Swift,Suzuki,1300 cc,Hatchback,2019,"48,000 km",Petrol,Automatic,Karachi,PKR 27 lacs
325,Swift,Suzuki,1200 cc,Hatchback,2022,"18,000 km",Petrol,Automatic,Punjab,PKR 44 lacs
326,Swift,Suzuki,1300 cc,Hatchback,2010,"106,000 km",Petrol,Manual,Lahore,PKR 15.4 lacs
327,Swift,Suzuki,1200 cc,N/A,2022,"40,000 km",Petrol,Automatic,Islamabad,PKR 42 lacs
328,Swift,Suzuki,1300 cc,Hatchback,2018,"94,000 km",Petrol,Manual,Lahore,PKR 23.6 lacs
329,Swift,Suzuki,1300 cc,Hatchback,2014,"180,000 km",Petrol,Manual,Lahore,PKR 19 lacs
330,Swift,Suzuki,1300 cc,Hatchback,2015,"85,000 km",Petrol,Manual,Lahore,PKR 19.2 lacs
331,Swift,Suzuki,1300 cc,Hatchback,2019,"57,000 km",Petrol,Automatic,Lahore,PKR 28.25 lacs
332,Swift,Suzuki,1300 cc,Hatchback,2010,"149,000 km",Petrol,Manual,Lahore,PKR 17.6 lacs
333,4,MG,<bound method PageElement.get_text of <li>77.0 kWh</li>>,Crossover,2024,"1,932 km",Electric,Automatic,Un-Registered,PKR 1.5 crore
334,Swift,Suzuki,1200 cc,Hatchback,2008,"1,237 km",Petrol,Automatic,Sindh,PKR 21.9 lacs
335,Swift,Suzuki,1300 cc,Hatchback,2017,"63,000 km",Petrol,Manual,Punjab,PKR 19.85 lacs
336,Swift,Suzuki,1000 cc,N/A,1987,"127,573 km",Petrol,Manual,Karachi,PKR 3.7 lacs
